image_path,original_label,adversarial_label
adversarial_dataset/train\adv_sample_training_0.png,4,3
adversarial_dataset/train\adv_sample_training_1.png,7,4
adversarial_dataset/train\adv_sample_training_2.png,3,0
adversarial_dataset/train\adv_sample_training_3.png,5,3
adversarial_dataset/train\adv_sample_training_4.png,3,5
adversarial_dataset/train\adv_sample_training_5.png,9,1
adversarial_dataset/train\adv_sample_training_6.png,6,3
adversarial_dataset/train\adv_sample_training_7.png,5,2
adversarial_dataset/train\adv_sample_training_8.png,8,0
adversarial_dataset/train\adv_sample_training_9.png,7,8
adversarial_dataset/train\adv_sample_training_10.png,0,2
adversarial_dataset/train\adv_sample_training_11.png,9,1
adversarial_dataset/train\adv_sample_training_12.png,9,1
adversarial_dataset/train\adv_sample_training_13.png,4,2
adversarial_dataset/train\adv_sample_training_14.png,5,3
adversarial_dataset/train\adv_sample_training_15.png,9,1
adversarial_dataset/train\adv_sample_training_16.png,9,7
adversarial_dataset/train\adv_sample_training_17.png,2,3
adversarial_dataset/train\adv_sample_training_18.png,2,5
adversarial_dataset/train\adv_sample_training_19.png,3,4
adversarial_dataset/train\adv_sample_training_20.png,1,9
adversarial_dataset/train\adv_sample_training_21.png,6,3
adversarial_dataset/train\adv_sample_training_22.png,3,4
adversarial_dataset/train\adv_sample_training_23.png,6,2
adversarial_dataset/train\adv_sample_training_24.png,9,1
adversarial_dataset/train\adv_sample_training_25.png,4,2
adversarial_dataset/train\adv_sample_training_26.png,2,6
adversarial_dataset/train\adv_sample_training_27.png,7,4
adversarial_dataset/train\adv_sample_training_28.png,9,1
adversarial_dataset/train\adv_sample_training_29.png,8,9
adversarial_dataset/train\adv_sample_training_30.png,1,6
adversarial_dataset/train\adv_sample_training_31.png,7,3
adversarial_dataset/train\adv_sample_training_32.png,1,9
adversarial_dataset/train\adv_sample_training_33.png,7,5
adversarial_dataset/train\adv_sample_training_34.png,4,5
adversarial_dataset/train\adv_sample_training_35.png,7,0
adversarial_dataset/train\adv_sample_training_36.png,6,2
adversarial_dataset/train\adv_sample_training_37.png,2,6
adversarial_dataset/train\adv_sample_training_38.png,5,6
adversarial_dataset/train\adv_sample_training_39.png,6,4
adversarial_dataset/train\adv_sample_training_40.png,5,4
adversarial_dataset/train\adv_sample_training_41.png,8,0
adversarial_dataset/train\adv_sample_training_42.png,7,5
adversarial_dataset/train\adv_sample_training_43.png,6,2
adversarial_dataset/train\adv_sample_training_44.png,7,2
adversarial_dataset/train\adv_sample_training_45.png,8,0
adversarial_dataset/train\adv_sample_training_46.png,8,9
adversarial_dataset/train\adv_sample_training_47.png,9,3
adversarial_dataset/train\adv_sample_training_48.png,7,2
adversarial_dataset/train\adv_sample_training_49.png,3,5
adversarial_dataset/train\adv_sample_training_50.png,5,4
adversarial_dataset/train\adv_sample_training_51.png,3,5
adversarial_dataset/train\adv_sample_training_52.png,0,9
adversarial_dataset/train\adv_sample_training_53.png,1,4
adversarial_dataset/train\adv_sample_training_54.png,1,9
adversarial_dataset/train\adv_sample_training_55.png,9,1
adversarial_dataset/train\adv_sample_training_56.png,7,4
adversarial_dataset/train\adv_sample_training_57.png,4,5
adversarial_dataset/train\adv_sample_training_58.png,5,3
adversarial_dataset/train\adv_sample_training_59.png,7,5
adversarial_dataset/train\adv_sample_training_60.png,6,3
adversarial_dataset/train\adv_sample_training_61.png,6,4
adversarial_dataset/train\adv_sample_training_62.png,2,5
adversarial_dataset/train\adv_sample_training_63.png,6,3
adversarial_dataset/train\adv_sample_training_64.png,2,3
adversarial_dataset/train\adv_sample_training_65.png,0,2
adversarial_dataset/train\adv_sample_training_66.png,6,2
adversarial_dataset/train\adv_sample_training_67.png,2,3
adversarial_dataset/train\adv_sample_training_68.png,4,2
adversarial_dataset/train\adv_sample_training_69.png,9,8
adversarial_dataset/train\adv_sample_training_70.png,2,0
adversarial_dataset/train\adv_sample_training_71.png,1,2
adversarial_dataset/train\adv_sample_training_72.png,7,5
adversarial_dataset/train\adv_sample_training_73.png,8,9
adversarial_dataset/train\adv_sample_training_74.png,0,8
adversarial_dataset/train\adv_sample_training_75.png,9,1
adversarial_dataset/train\adv_sample_training_76.png,8,9
adversarial_dataset/train\adv_sample_training_77.png,8,9
adversarial_dataset/train\adv_sample_training_78.png,9,1
